"year","aoi","cover","loss"
2000,"AOI 1",433655.544516702,NA
2001,"AOI 1",433124.910464166,530.634052535697
2002,"AOI 1",432107.527657772,1017.38280639369
2003,"AOI 1",430451.149115845,1656.37854192759
2004,"AOI 1",429589.534152813,861.614963031595
2005,"AOI 1",427738.26946542,1851.26468739279
2006,"AOI 1",425938.03658331,1800.23288211072
2007,"AOI 1",421195.949075835,4742.0875074745
2008,"AOI 1",420031.962826644,1163.98624919096
2009,"AOI 1",415982.443376725,4049.51944991901
2010,"AOI 1",412195.921187493,3786.52218923153
2011,"AOI 1",407461.577858113,4734.3433293806
2012,"AOI 1",403577.512644472,3884.06521364108
